SAINT-BAUZILE-SR;1;130;48000
REIMS-SR;7;1790.35;51100
ARRAS-PL;5;846.25;62000
LAMBERSART-CH;1;130;59130
BREST-SR;10;2487.85;29200
CHAMPAGNOLE-SR;1;150;39300
MIRECOURT-PL;2;396.25;88500
MONTMAGNY-CL;1;280;95360
USSEL-SR;1;150;19200
THONON-LES-BAINS-SR;7;1281.25;74200
BOURG-EN-BRESSE-PL;2;853.4;01000
MER-PL;1;130;41500
LEGUEVIN-PL;1;130;31490
BETTON-PL;2;389.1;35830
PLABENNEC-PL;1;180;29860
SAINT-FLORENTIN-SR;1;570;89600
BIARRITZ-CH;1;150;64200
HALLUIN-PL;3;440;59250
STATTMATTEN-SR;1;150;67770
AUCAMVILLE-PL;2;356.25;31140
PIERRELATTE-VT;3;1869.3899999999999;26700
SAINT-LOUIS-VT;1;534.63;68300
SAINT-ETIENNE-LES-ORGUES-PL;1;150;04230
CAEN-PL;16;2388.25;14000
SAINTRY-SUR-SEINE-PL;1;0;91250
VETRAZ-MONTHOUX-PL;2;180;74100
HOURTIN-PL;1;130;33990
FOSSES-VT;2;914.26;95470
MIRIBEL-VT;1;402.13;60940
LA SEYNE-SUR-MER-VT;3;1413.52;83500
JOUÉ-LÈS-TOURS-VT;1;502.13;37300
PARIS-PT;2;0;75017
MEAUX-SR;3;260;77100
FOUQUIERES-LES-LENS-SR;1;226.25;62740
ANNEMASSE-PL;6;1501.25;74100
ROANNE-PL;2;130;42300
SAINT-MÉDARD-EN-JALLES-SR;1;626.25;33160
TERGNIER-PL;3;365;02700
PONT-SAINTE-MAXENCE-PL;2;876.25;60700
VOREPPE-SR;4;580;38340
ANGLET-SR;4;732.5;64600
LE CHESNAY-PL;2;150;78150
ANNEMASSE-EL;5;780;74100
VANNES-VT;3;1709.2600000000002;56000
FONTAINE-VT;1;472.14;38600
TAYAC-SR;1;150;33570
THONON LES BAINS-VT;1;500.83;74200
NEUILLY-PLAISANCE-PL;2;150;93360
ILLZACH-PL;3;390;68110
TOULOUSE-EL;10;1270;31000
POITIERS-SR;6;880;86000
ORNANS-SR;1;246.25;25290
SOULTZ-HAUT-RHIN-SR;2;310;68360
ROMILLY-SUR-SEINE-CH;1;150;10100
LE BOUSCAT-PL;4;710;33110
MESQUER-PL;1;180;44420
GUERANDE-VT;1;280;44350
VERNET-CH;1;140;31810
MARCY-EL;2;300;69480
MESNAC-PL;1;130;16370
YCHOUX-PL;1;460;40160
CHALMAISON-CH;1;0;77650
OIGNIES-PL;1;150;62590
RUMILLY-CH;1;180;74150
ROUBAIX-PL;3;420;59100
MONTEUX-PL;2;280;84170
BORDEAUX-EL;5;680;33800
BAYEUX-PL;1;130;14400
PROVENCE-ALPES-CÔTE D'AZUR-PL;6;11765.149999999998;83140
AVRILLE-SR;1;171.6;49240
GENISSAC-PL;1;150;33420
RIBEAUVILLE-CH;1;110;68150
THYEZ-VT;2;782.13;74300
FENOUILLET-VT;1;5873.72;31150
PLAN-D'ORGON-SR;2;300;13750
AIXE-SUR-VIENNE-SR;3;571.25;87700
SAINT-LOUIS-SR;2;315;68300
JURANCON-PL;1;150;64110
RUEIL-MALMAISON-PL;6;390;92500
MONTOIRE-SUR-LE-LOIR-SR;1;180;41800
PANAZOL-PL;2;260;87350
PLAISIR-PL;3;1030;78370
CHIRENS-EL;1;130;38850
NOGENT-SUR-MARNE-VT;1;0;94130
MERY-SUR-SEINE-PL;1;150;10170
MENTON-PL;4;765;06500
CLUSES-PL;6;1096;74300
SAINT-GERMAIN-EN-LAYE-SR;2;0;78100
VALENCE-EL;2;169.1;26000
LA CIOTAT-PL;4;600;13600
FERNEY-VOLTAIRE-PL;8;7065;01210
SAINT-CHAMOND-VT;2;1045.8200000000002;42400
METZ-VT;5;2476.7200000000003;57000
VERNEUIL-SUR-SEINE-CH;1;130;78480
ANGERS-PL;12;3273.17;49000
JUVIGNAC-SR;1;150;34990
ROQUEFORT-LA-BEDOULE-PL;1;130;13830
SENS-CH;2;0;89100
MELUN-SR;2;280;77000
SAINT-CHAMOND-SR;2;260;42400
TETING-SUR-NIED-PL;1;195;57385
OBERNAI-PL;3;1156.25;67210
CERCOTTES-PL;1;0;45520
CHENS-SUR-LEMAN-PL;2;395;74140
AVIGNON-PL;9;1540;84000
SAINVILLE-SR;1;180;28700
TROYES-SR;13;2076.25;10000
NEVERS-CH;1;110;58000
PONT-AUDEMER-SR;2;300;27500
ANGOULEME-CH;1;195;16000
MANTES-LA-VILLE-SR;1;226.25;78711
MONTAUBAN-EL;5;1465.5;82000
GENNEVILLIERS-EL;1;0;92230
SAINT-PIERRE-LES-ELBEUF-PL;1;130;76320
NICE-VT;6;6156.1;06000
MIONS-VT;1;502.13;69780
MERU-CH;1;110;60110
SAINT-ÉTIENNE-VT;2;2394.95;42000
NANTES-SR;23;3966.4;44300
COULAURES-SR;1;150;24420
HILLION-PL;1;130;22120
NANCY-VT;4;1768.7399999999998;54000
LEAZ-PL;1;150;01200
MOYENMOUTIER-SR;1;326.25;88420
BUXEROLLES-VT;2;1679.2600000000002;86180
BREST-VT;2;839.26;29200
JARGEAU-PL;2;300;45150
MONTATAIRE-PL;2;150;60160
ORLEANS-SR;8;2700;45000
WITTENHEIM-PL;2;330;68270
STRASBOURG-PL;21;2931.25;67200
VILLEURBANNE-SR;7;1100;69100
RILLIEUX-LA-PAPE-SR;2;606.25;69140
CHEVIGNY-SAINT-SAUVEUR-SR;5;798.06;21800
MAUGUIO-SR;2;300;34130
CARENTAN-CH;1;130;50500
MAUGUIO-EL;1;280;34137
L'HERBERGEMENT-PL;1;130;85260
ROMILLY-SUR-SEINE-SR;1;300;10100
SÉLESTAT-PL;1;576.25;67600
VILLENEUVE-D'ASCQ-CH;1;130;59491
SAINT-JULIEN-EN-GENEVOIS-SR;2;345;74160
ENGHIEN-LES-BAINS-SR;2;280;95880
SAINT-ANDRE-DE-L'EURE-SR;1;496.25;27220
BREST-PL;12;3018.95;29200
REIMS-PL;6;1180;51100
CAVAILLON-EL;2;300;84300
