YCHOUX;1;460;40160
CHALMAISON;1;0;77650
OIGNIES;1;150;62590
RUMILLY;10;2142.48;74150
MONTEUX;5;675;84170
BAYEUX;2;280;14400
PROVENCE-ALPES-CÔTE D'AZUR;9;13526.009999999998;83140
GENISSAC;1;150;33420
RIBEAUVILLE;2;325;68150
THYEZ;2;782.13;74300
FENOUILLET;2;6023.72;31150
PLAN-D'ORGON;3;1089.1;13750
AIXE-SUR-VIENNE;4;721.25;87700
JURANCON;2;300;64110
RUEIL-MALMAISON;13;4864.32;92500
MONTOIRE-SUR-LE-LOIR;1;180;41800
PANAZOL;3;703.13;87350
PLAISIR;4;1180;78370
CHIRENS;1;130;38850
NOGENT-SUR-MARNE;7;660;94130
MERY-SUR-SEINE;1;150;10170
MENTON;4;765;06500
CLUSES;12;1946;74300
LA CIOTAT;11;1876.25;13600
FERNEY-VOLTAIRE;15;9308.380000000001;01210
VERNEUIL-SUR-SEINE;2;325;78480
JUVIGNAC;2;330;34990
ROQUEFORT-LA-BEDOULE;1;130;13830
SENS;5;280;89100
MELUN;11;2220.25;77000
TETING-SUR-NIED;2;345;57385
OBERNAI;3;1156.25;67210
CERCOTTES;1;0;45520
CHENS-SUR-LEMAN;2;395;74140
SAINVILLE;1;180;28700
PONT-AUDEMER;3;420;27500
GENNEVILLIERS;3;838.25;92230
SAINT-PIERRE-LES-ELBEUF;2;280;76320
MIONS;1;502.13;69780
MERU;2;260;60110
SAINT-ÉTIENNE;4;3274.68;42000
COULAURES;1;150;24420
HILLION;1;130;22120
LEAZ;1;150;01200
MOYENMOUTIER;1;326.25;88420
BUXEROLLES;5;2089.26;86180
JARGEAU;4;952.13;45150
MONTATAIRE;2;150;60160
ORLEANS;17;4135;45000
RILLIEUX-LA-PAPE;3;756.25;69140
CHEVIGNY-SAINT-SAUVEUR;6;1024.31;21800
MAUGUIO;9;1582.13;34130
CARENTAN;1;130;50500
L'HERBERGEMENT;1;130;85260
SÉLESTAT;3;1168.38;67600
VILLENEUVE-D'ASCQ;11;2833.3900000000003;59491
ENGHIEN-LES-BAINS;4;1159.95;95880
SAINT-ANDRE-DE-L'EURE;2;626.25;27220
CAVAILLON;4;515;84300
VILLENEUVE-LES-AVIGNON;5;690;30400
AUCH;4;719.25;32000
SAINT-JEAN-D'ANGELY;1;150;17400
BARENTIN;3;530;76360
.;2;1018.2;00000
TRETS;2;657.63;13530
BLANQUEFORT;4;645;33290
FONTAINES-SUR-SAÔNE;1;458.13;69270
ALBI;16;4520.58;81000
AYTRE;3;475;17440
UZES;2;375;30700
GUÉRANDE;1;280;44350
LEVES;1;506.25;28300
ARDENTES;1;0;36120
SETE;9;2768.63;34200
AVON;1;150;77210
LILLE;30;9932.86;59800
CARQUEFOU;11;4743.33;44470
YFFINIAC;2;300;22120
TOULON;29;4748.73;83200
PUYMOYEN;2;806.38;16400
PERIGUEUX;4;640;24000
TAVERNY;2;280;95150
CHAMPS-SUR-MARNE;3;950;77420
CAISSARGUES;1;150;30132
AUDUN-LE-TICHE;3;1041.25;57390
VILLENAVE-D'ORNON;10;1573.34;33140
NOUAN-LE-FUZELIER;1;130;41600
VALENTIGNEY;4;590;25700
LE POINCONNET;1;130;36330
FLORANGE;5;820;57190
OTHIS;1;655;77280
SAINT-BUGAN;1;130;22600
PUISEUX-PONTOISE;2;1171.25;95650
FOUESNANT;3;726.25;29170
FAMECK;2;652.13;57290
NŒUX-LES-MINES;2;871.39;62290
INGERSHEIM;1;150;68040
SAINT-MARTIN-L'ARS;1;260;86350
ENTRAIGUES;1;215;38740
CENON;8;1276.25;33150
SAINT-MARTIN-DES-CHAMPS;2;130;29600
BETTANGE;1;130;57220
ARQUES;2;280;62510
CLERMONT-FERRAND;15;3179.51;63100
BILLERE;5;710;64140
CUCQ;2;140;62780
MAZAMET;2;780;81200
VERDUN;2;782.4;55100
FRESSENNEVILLE;1;180;80390
SAINT-CLOUD;2;150;92210
NANTERRE;10;11591.89;92000
MAROMME;2;310;76150
DEAUVILLE;5;730;14800
ELBEUF;5;1384.45;76500
SAINT-JUST-D'ARDECHE;1;195;07700
AUBIN;1;130;12110
AUBERGENVILLE;5;1932.27;78410
MONTREAL-LA-CLUSE;1;150;01460
PLEURTUIT;2;376.25;35730
VER-SUR-MER;1;206.25;14114
PEAUGRES;1;150;07340
LUNEL;6;1855.9;34400
CLÉREY;1;150;10390
ANTONY;10;950;92160
LE COTEAU;2;399.1;42120
AUBIERE;1;180;63170
GEX;9;1495;01170
SAINT-JORIOZ;3;475;74410
ORSCHWIHR;1;130;68500
PIERREFITTE-SUR-SEINE;1;180;93380
SAINT-AVE;3;430;56890
MEYLAN;9;1592.13;38240
SAINT-ANTONIN-NOBLE-VAL;2;406.25;82140
EYSINES;7;1460;33320
RIS-ORANGIS;2;260;91130
FREJUS;8;1936.25;83600
CUSSAC-FORT-MÉDOC;1;592.13;33460
CANTELEU;2;449.1;76380
LISSIEU;2;560;69380
 UFFHOLTZ;1;130;68700
GAGNY;5;590;93220
